t,schedule_1,schedule_2,gamma_1,gamma_2,C,criterion_positive,numerical_integrable,analytic_logZ_relative_error
0.12269229209081685,linear,ddpm,0.6012767779710866,-2.330015489141402,-1.7454498971390071,False,False,
0.5102069786096625,linear,ddpm,2.298049432066851,-0.5399793238089299,7.55680981071837,True,True,4.511339931359834e-16
0.15335200701368112,sigmoid,cosine,2.8227605519925154,-0.6652062418101868,2.1200942601044153,True,True,0.0
0.5497854737827657,cosine,cosine,1.360774947010313,-1.5757468298695834,-0.5092725215585276,False,False,
0.5432724017386142,cosine,sigmoid,0.8113867645882087,-1.220826892518944,-0.3797610136924552,False,False,
0.4303170741447142,sigmoid,polynomial,2.5242769397819442,-1.9011898800154645,0.05852189897772053,True,True,0.0
0.39552352887334474,ddpm,cosine,2.545302427427276,-2.066266156049384,2.528576425452195,True,True,1.2197296182541942e-16
0.2163788305492254,linear,cosine,1.881528776303218,-1.9848105040329207,0.8310780015474326,True,True,0.0
0.7581650241452016,cosine,linear,1.5162758418703166,-2.7748974041557424,-36.41912090663587,False,False,
0.39203692620661656,linear,linear,1.5384600934280617,-2.574509963195257,-2.803020385852051,False,False,
0.6621216565278291,sigmoid,polynomial,0.6965750929140997,-2.131536440841596,-3.2733400255838916,False,False,
0.14757132128027078,linear,cosine,2.859503567355227,-0.8170427556531195,3.0727029042731946,True,True,3.1041320007513423e-16
0.8811698575488357,polynomial,sigmoid,1.4519262707772236,-1.5744351529464415,-63.14055062896715,False,False,
0.7904961633514542,cosine,polynomial,2.4392279702545707,-1.2721434067981525,14.31335300417835,True,True,1.3484777152093864e-16
0.8959338785287343,ddpm,polynomial,2.7032679318442248,-1.776766263859113,107.701094504684,True,True,0.0
0.7498683184890033,polynomial,cosine,1.2898588634192505,-0.9567809473164062,0.2059851221557638,True,True,1.2993314983917322e-16
0.6985988026414033,sigmoid,cosine,2.169723513928378,-2.89603407944488,1.9031959835340029,True,True,0.0
0.6360494794519488,sigmoid,linear,2.6517535238691945,-1.1178668508052687,1.8549226583747256,True,True,1.8199869276424616e-16
0.8282046129728439,ddpm,polynomial,2.286546341636882,-0.9176323219556805,63.00444288324921,True,True,0.0
0.5208177988943001,ddpm,linear,1.9035019188755573,-1.9458397873156816,-0.9419587158587293,False,False,
0.5571164803646196,sigmoid,cosine,1.8085868184872997,-0.72233910061568,1.9051423015129563,True,True,3.7214584123095424e-16
0.5718960226567604,ddpm,cosine,0.5160222066607754,-2.4316230030634713,-3.56429144697682,False,False,
0.256085918765444,polynomial,ddpm,1.2992040907066624,-0.9687692893194623,0.12816862660644257,True,True,0.0
0.15781221242390142,cosine,cosine,1.944219731294648,-2.0055979409490643,-0.06530996368200714,False,False,
0.4104533854276154,polynomial,linear,1.7499320591465461,-2.3602436982066206,-4.259937989353455,False,False,
0.41607336668637407,polynomial,linear,0.6572387461374283,-2.3147021594394417,-5.827326690238971,False,False,
0.712733694191098,sigmoid,cosine,2.6838065778018305,-1.6807508418750288,13.958335168403664,True,True,2.7818174626664935e-16
0.15626100285537448,sigmoid,linear,2.7883099002794145,-0.8185075226222658,1.6413581670428843,True,True,0.0
0.23083473295718424,cosine,sigmoid,2.6721357358682982,-2.085174948368608,0.9625254572905608,True,True,1.1835613185022685e-16
0.46828426309385984,linear,ddpm,2.184333594318184,-1.295043469614495,3.7792068484775023,True,True,4.367836475907946e-16
0.5630068026588021,polynomial,linear,1.7686746513613179,-2.4741643311496757,-9.16504464854869,False,False,
0.8909562666942558,cosine,sigmoid,0.9930873682396714,-2.5203418795339205,-131.50954058621164,False,False,
0.4850083972602149,linear,cosine,0.9573583116892967,-2.907547850310668,-1.9439044105582637,False,False,
